strain	accession	date	country
A/Pennsylvania/09/2012	KC892570	2012-04-21	USA
A/Pennsylvania/10/2010	KC535467	2010-06-28	USA
A/Pennsylvania/11/2010	KC882434	2010-09-01	USA
A/Pennsylvania/12/2010	KC883191	2010-09-07	USA
A/Pennsylvania/12/2011	KC882450	2011-08-11	USA
A/Pennsylvania/13/2008	GQ369892	2008-12-11	USA
A/Pennsylvania/13/2011	KC892982	2011-09-23	USA
A/Pennsylvania/15/2011	KC892407	2011-11-16	USA
A/Pennsylvania/17/2011	KC892744	2011-12-28	USA
A/Pennsylvania/22/2010	KC883209	2010-10-28	USA
A/Pennsylvania/24/2009	KC535363	2009-08-20	USA
A/Pennsylvania/4/07	EU516049	2007-03-03	USA
A/Pennsylvania/41/2010	KC882512	2010-12-12	USA
A/Pennsylvania/PIT02/2008	CY035038	2008-01-23	USA
A/Pennsylvania/PIT04/2008	CY036927	2008-01-23	USA
A/Pennsylvania/PIT05/2008	CY035150	2008-01-22	USA
A/Pennsylvania/PIT06/2008	CY035046	2008-01-17	USA
A/Pennsylvania/PIT08/2008	CY035054	2008-01-15	USA
A/Pennsylvania/PIT12/2008	CY035158	2008-01-10	USA
A/Pennsylvania/PIT20/2008	CY035166	2008-01-25	USA
A/Pennsylvania/PIT22/2008	CY035062	2008-01-23	USA
A/Pennsylvania/PIT25/2008	CY035174	2008-02-11	USA
A/Pennsylvania/PIT31/2008	CY035182	2008-02-08	USA
A/Pennsylvania/PIT34/2008	CY044357	2008-02-06	USA
A/Pennsylvania/PIT37/2008	CY038487	2008-02-05	USA
A/Pennsylvania/PIT39/2008	CY038495	2008-02-21	USA
A/Pennsylvania/PIT42/2008	CY036935	2008-02-20	USA
A/Pennsylvania/PIT43/2008	CY035190	2008-02-20	USA
A/Penza/55/2008	JQ988027	2008-03-24	Russia
A/Perth/16/2009	GQ293081	2009-04-07	Australia
A/Petrozavodsk/RII01/2012	CY114533	2012-02-02	Russia
A/Philippines/16/2009	GQ293083	2009-03-05	Philippines
A/Philippines/5/2009	GQ293085	2009-03-05	Philippines
A/Piaui/14202/2011	JN872423	2011-02-18	Brazil
A/Piaui/14211/2011	JN872421	2011-01-28	Brazil
A/Piaui/8448/2011	JN872418	2011-01-22	Brazil
A/Qatar/AF02/2008	CY037303	2008-01-29	Qatar
A/Qingdao/1045/2009	CY050136	2009-09-03	China
A/Qingdao/1046/2009	CY050138	2009-09-03	China
A/Qingdao/1115/2009	CY050102	2009-09-06	China
A/Qingdao/1116/2009	CY050104	2009-09-06	China
A/Qingdao/1118/2009	CY050106	2009-09-06	China
A/Qingdao/1157/2009	CY050108	2009-09-09	China
A/Qingdao/1158/2009	CY050110	2009-09-09	China
A/Qingdao/1167/2009	CY050111	2009-09-09	China
A/Qingdao/1231/2009	CY050115	2009-09-14	China
A/Qingdao/1295/2009	CY050123	2009-09-16	China
A/Qingdao/1329/2009	CY050125	2009-09-17	China
A/Qingdao/1341/2009	CY050127	2009-09-17	China
A/Qingdao/1346/2009	CY050128	2009-09-17	China
A/Qingdao/2144/2009	CY050089	2009-09-17	China
A/Qingdao/2157/2009	CY050090	2009-09-18	China
A/Qingdao/2162/2009	CY050091	2009-09-18	China
A/Qingdao/2181/2009	CY050093	2009-09-22	China
A/Qingdao/2199/2009	CY050095	2009-09-22	China
A/Qingdao/2200/2009	CY050097	2009-09-22	China
A/Qingdao/505/2009	CY050275	2009-08-26	China
A/Qingdao/522/2009	CY050276	2009-09-01	China
A/Queensland/1/2000	CY017259	2000-09-15	Australia
A/Queensland/11/2001	CY017483	2001-08-11	Australia
A/Queensland/12/2001	CY017491	2001-08-24	Australia
A/Queensland/14/2001	CY018957	2001-09-03	Australia
A/Queensland/15/2001	CY017499	2001-09-13	Australia
A/Queensland/16/2001	CY017507	2001-08-17	Australia
A/Queensland/17/2001	CY017627	2001-08-24	Australia
A/Queensland/18/2001	CY017515	2001-08-24	Australia
A/Queensland/19/2001	CY017893	2001-07-14	Australia
A/Queensland/2/2000	CY017443	2000-07-16	Australia
A/Queensland/20/2001	CY017523	2001-08-05	Australia
A/Queensland/21/2002	CY017531	2002-07-26	Australia
A/Queensland/22/2002	CY017901	2002-07-15	Australia
A/Queensland/23/2002	CY017539	2002-08-13	Australia
A/Queensland/24/2002	CY017547	2002-07-25	Australia
A/Queensland/26/2002	CY017555	2002-08-06	Australia
A/Queensland/27/2002	CY017909	2002-08-13	Australia
A/Queensland/28/2002	CY017917	2002-08-12	Australia
A/Queensland/29/2002	CY017925	2002-08-17	Australia
A/Queensland/3/2000	CY017451	2000-09-04	Australia
A/Queensland/30/2002	CY018965	2002-08-23	Australia
A/Queensland/31/2003	CY018973	2003-08-12	Australia
A/Queensland/32/2003	CY018981	2003-08-20	Australia
A/Queensland/33/2003	CY017563	2003-08-25	Australia
A/Queensland/34/2003	CY018989	2003-08-25	Australia
A/Queensland/35/2003	CY018997	2003-07-27	Australia
A/Queensland/36/2003	CY017571	2003-08-10	Australia
A/Queensland/37/2003	CY017933	2003-08-19	Australia
A/Queensland/38/2003	CY017941	2003-09-03	Australia
A/Queensland/39/2003	CY017579	2003-09-11	Australia
A/Queensland/4/2000	CY017267	2000-09-05	Australia
A/Queensland/40/2003	CY017949	2003-09-10	Australia
A/Queensland/41/2004	CY019005	2004-10-07	Australia
A/Queensland/42/2004	CY017957	2004-10-13	Australia
A/Queensland/43/2004	CY017965	2004-10-24	Australia
A/Queensland/44/2004	CY020029	2004-10-09	Australia
A/Queensland/45/2004	CY020037	2004-09-15	Australia
A/Queensland/46/2004	CY017973	2004-10-09	Australia
A/Queensland/47/2004	CY017587	2004-10-06	Australia
A/Queensland/48/2004	CY017595	2004-09-30	Australia
A/Queensland/49/2004	CY017603	2004-10-01	Australia
A/Queensland/5/2000	CY017459	2000-08-13	Australia
A/Queensland/50/2004	CY020045	2004-10-27	Australia
A/Queensland/51/2005	CY017981	2005-07-12	Australia
A/Queensland/52/2005	CY017989	2005-07-22	Australia
A/Queensland/53/2005	CY019013	2005-07-26	Australia
A/Queensland/54/2005	CY019021	2005-08-11	Australia
A/Queensland/55/2005	CY017611	2005-08-02	Australia
A/Queensland/56/2005	CY019029	2005-08-16	Australia
A/Queensland/57/2005	CY017619	2005-08-22	Australia
A/Queensland/60/2005	CY019747	2005-08-18	Australia
A/Queensland/7/2000	CY017885	2000-09-19	Australia
A/Queensland/8/2000	CY017467	2000-09-20	Australia
A/Queensland/9/2000	CY017475	2000-08-28	Australia
A/Rhode_Island/01/2010	KC535478	2010-01-26	USA
A/Rhode_Island/01/2012	KC892323	2012-01-30	USA
A/Rhode_Island/03/2007	EU199372	2007-05-17	USA
A/Rhode_Island/03/2011	KC882591	2011-01-25	USA
A/Rhode_Island/03/2012	KC892514	2012-03-07	USA
A/Rhode_Island/04/2011	KC882628	2011-01-31	USA
A/Rhode_Island/05/2011	KC882502	2011-03-03	USA
A/Rhode_Island/05/2012	KC893132	2012-04-17	USA
A/Rhode_Island/06/2011	KC883198	2011-03-07	USA
A/Rhode_Island/07/2011	KC882618	2011-03-07	USA
A/Rhode_Island/07/2012	KC892667	2012-04-18	USA
A/Riyadh/01/2010	KC709818	2010-10-01	Saudi Arabia
A/Rondonia/3410/2011	JN872417	2011-01-20	Brazil
A/Saint_Petersburg/RII02/2012	CY114543	2012-02-03	Russia
A/Saint_Petersburg/RII03/2012	CY114548	2012-02-06	Russia
A/Saint_Petersburg/RII09/2012	JX978734	2012-02-14	Russia
A/Saint_Petersburg/RII16/2012	KC488820	2012-03-05	Russia
A/Saint_Petersburg/RII23/2012	JX978746	2012-03-19	Russia
A/Saint_Petersburg/RII25/2012	KC488815	2012-02-23	Russia
A/Saint_Petersburg/RII31/2012	JX978764	2012-03-19	Russia
A/Saint_Petersburg/RII47/2012	JX978767	2012-04-20	Russia
A/Saint_Petersburg/RII51/2012	KC488831	2012-04-02	Russia
A/Saint_Petersburg/RII53/2012	KC488823	2012-04-09	Russia
A/Saint_Petersburg/RII60/2012	JX978776	2012-04-09	Russia
A/Saint_Petersburg/RII63/2012	JX978779	2012-04-23	Russia
A/San_Salvador/WRAIR3537T/2010	CY093447	2010-08-11	El Salvador
A/Santo_Domingo/WRAIR3514T/2010	CY093423	2010-06-29	Dominican Republic
A/Santo_Domingo/WRAIR3516N/2010	CY093431	2010-06-29	Dominican Republic
A/Santo_Domingo/WRAIR3516T/2010	CY093439	2010-06-29	Dominican Republic
A/Sao_Paulo/02_2344/2011	JN872415	2011-01-19	Brazil
A/Sao_Paulo/09_73/2011	JN872413	2011-01-05	Brazil
A/Sao_Paulo/11245/2011	JN872422	2011-02-17	Brazil
A/Sao_Paulo/11_14557/2011	JN872429	2011-06-29	Brazil
A/Sao_Paulo/11_1800/2011	JN872416	2011-01-19	Brazil
A/Sao_Paulo/11_21152/2010	JN872410	2010-10-16	Brazil
A/Sao_Paulo/14805/2011	JN872424	2011-03-03	Brazil
A/Sao_Paulo/161110/2010	JN872411	2010-11-16	Brazil
A/Sao_Paulo/16363/2010	HM628692	2010-07-01	Brazil
A/Sao_Paulo/16761/2011	JN872425	2011-03-15	Brazil
A/Sao_Paulo/32892/2001	JN872426	2011-03-30	Brazil
A/Sao_Paulo/39767/2011	JN872428	2011-06-02	Brazil
A/Sao_Paulo/4184/2011	JN872419	2011-01-25	Brazil
A/Sardasht/584/2012	KC865609	2012-01-07	Iran
A/Scotland/50/2003	CY088006	2003-11-01	United Kingdom
A/Scotland/52/2003	CY087990	2003-10-23	United Kingdom
A/Scotland/61/2003	CY088046	2003-10-26	United Kingdom
A/Scotland/71/2003	CY088094	2003-11-04	United Kingdom
A/Scotland/72/2003	CY088102	2003-10-28	United Kingdom
A/Scotland/76/2003	CY088126	2003-11-03	United Kingdom
A/Scotland/78/2003	CY088134	2003-11-07	United Kingdom
A/Scotland/79/2003	CY107090	2003-11-08	United Kingdom
A/Scotland/81/2003	CY088150	2003-11-12	United Kingdom
A/Shantou/546/2010	JQ220541	2010-12-06	China
A/Singapore/1/1996	CY112829	1996-02-12	Singapore
A/Singapore/19/1993	CY112661	1993-12-21	Singapore
A/Singapore/3/1993	CY113445	1993-01-06	Singapore
A/Singapore/39/2009	GQ293087	2009-03-27	Singapore
A/Singapore/C2009_458V/2009	KF014198	2009-06-16	Singapore
A/Singapore/C2009_485a/2009	KF014127	2009-06-26	Singapore
A/Singapore/C2009_485b/2009	KF014200	2009-06-26	Singapore
A/Singapore/C2009_496/2009	KF014197	2009-06-30	Singapore
A/Singapore/C2009_515/2009	KF014201	2009-07-07	Singapore
A/Singapore/C2009_518V/2009	JX437709	2009-07-08	Singapore
A/Singapore/C2009_803bV/2009	JX437711	2009-10-20	Singapore
A/Singapore/C2009_863/2009	KF014202	2009-11-11	Singapore
A/Singapore/C2010_036V/2010	JX437712	2010-01-13	Singapore
A/Singapore/C2010_304V/2010	JX437713	2010-04-21	Singapore
A/Singapore/C2010_362V/2010	JX437714	2010-05-12	Singapore
A/Singapore/C2010_682V/2010	JX437716	2010-06-06	Singapore
A/Singapore/C2010_937V/2010	KF014203	2010-12-08	Singapore
A/Singapore/C2011_027V/2011	KF014204	2011-01-10	Singapore
A/Singapore/C2011_173/2011	KF014205	2011-03-04	Singapore
A/Singapore/C2011_244/2011	KF014206	2011-03-30	Singapore
A/Singapore/C2011_301/2011	KF014207	2011-04-20	Singapore
A/Singapore/C2011_384/2011	KF014209	2011-05-20	Singapore
A/Singapore/C2011_411/2011	KF014210	2011-05-30	Singapore
A/Singapore/C2011_493/2011	KF014216	2011-06-29	Singapore
A/Singapore/C2011_507V/2011	KF014218	2011-07-04	Singapore
A/Singapore/C2011_545C/2011	KF014145	2011-07-18	Singapore
A/Singapore/C2011_564/2011	KF014221	2011-07-25	Singapore
A/Singapore/C2011_573/2011	KF014222	2011-07-28	Singapore
A/Singapore/C2011_584V/2011	KF014223	2011-08-01	Singapore
A/Singapore/C2011_614/2011	KF014224	2011-08-12	Singapore
A/Singapore/C2011_825/2011	KF014228	2011-10-28	Singapore
A/Singapore/EN122/2011	CY124151	2011-04-11	Singapore
A/Singapore/EN358/2011	CY124157	2011-09-19	Singapore
A/Singapore/EN401/2011	CY124159	2011-10-07	Singapore
A/Singapore/EN415/2011	CY124161	2011-10-13	Singapore
A/Singapore/EN514/2011	CY124163	2011-12-07	Singapore
A/Singapore/GP103/2011	CY124165	2011-01-12	Singapore
A/Singapore/GP1030/2011	CY124167	2011-05-25	Singapore
A/Singapore/GP1063/2011	CY124171	2011-06-02	Singapore
A/Singapore/GP1072/2011	CY124173	2011-06-06	Singapore
A/Singapore/GP1084/2011	CY124175	2011-06-10	Singapore
A/Singapore/GP1098/2011	CY124177	2011-06-15	Singapore
A/Singapore/GP1111/2011	CY124179	2011-06-20	Singapore
A/Singapore/GP1138/2011	CY124181	2011-06-23	Singapore
A/Singapore/GP1147/2011	CY124183	2011-06-24	Singapore
A/Singapore/GP1155/2011	CY124185	2011-06-27	Singapore
A/Singapore/GP1188/2011	CY124187	2011-07-04	Singapore
A/Singapore/GP1215/2011	CY124189	2011-07-07	Singapore
A/Singapore/GP1231/2011	CY124191	2011-07-12	Singapore
A/Singapore/GP125/2011	CY124193	2011-01-13	Singapore
A/Singapore/GP1297/2011	CY124197	2011-07-19	Singapore
A/Singapore/GP1318/2011	CY124199	2011-07-22	Singapore
A/Singapore/GP1344/2011	CY124201	2011-07-27	Singapore
A/Singapore/GP1362/2011	CY124203	2011-07-29	Singapore
A/Singapore/GP1374/2011	CY124205	2011-08-02	Singapore
A/Singapore/GP1382/2011	CY124207	2011-08-03	Singapore
A/Singapore/GP1406/2011	CY124209	2011-08-08	Singapore
A/Singapore/GP1423/2011	CY124211	2011-08-11	Singapore
A/Singapore/GP1437/2011	CY124213	2011-08-16	Singapore
A/Singapore/GP1442/2011	CY124215	2011-08-19	Singapore
A/Singapore/GP1446/2011	CY124217	2011-08-24	Singapore
A/Singapore/GP1490/2011	CY124221	2011-09-08	Singapore
A/Singapore/GP1503/2011	CY124223	2011-09-13	Singapore
A/Singapore/GP1507/2011	CY124225	2011-09-13	Singapore
A/Singapore/GP1536/2011	CY124229	2011-09-27	Singapore
A/Singapore/GP1541/2011	CY124231	2011-09-29	Singapore
A/Singapore/GP1561/2011	CY124233	2011-10-04	Singapore
A/Singapore/GP1583/2011	CY124237	2011-10-07	Singapore
A/Singapore/GP1592/2011	CY124239	2011-10-07	Singapore
A/Singapore/GP1635/2011	CY124241	2011-10-18	Singapore
A/Singapore/GP1651/2011	CY124243	2011-10-19	Singapore
A/Singapore/GP1655/2011	CY124245	2011-10-20	Singapore
A/Singapore/GP1669/2011	CY124247	2011-10-24	Singapore
A/Singapore/GP1682/2011	CY124249	2011-10-31	Singapore
A/Singapore/GP1684/2011	CY124251	2011-10-31	Singapore
A/Singapore/GP1692/2011	CY124253	2011-11-02	Singapore
A/Singapore/GP1703/2011	CY124255	2011-11-03	Singapore
A/Singapore/GP1710/2011	CY124257	2011-11-08	Singapore
A/Singapore/GP1713/2011	CY124259	2011-11-08	Singapore
A/Singapore/GP1717/2011	CY124261	2011-11-09	Singapore
A/Singapore/GP1726/2011	CY124263	2011-11-11	Singapore
A/Singapore/GP1751/2011	CY124265	2011-11-17	Singapore
A/Singapore/GP1784/2011	CY124271	2011-11-25	Singapore
A/Singapore/GP1797/2011	CY124273	2011-11-29	Singapore
A/Singapore/GP1810/2011	CY124275	2011-12-01	Singapore
A/Singapore/GP1814/2011	CY124277	2011-12-02	Singapore
A/Singapore/GP1818/2011	CY124279	2011-12-05	Singapore
A/Singapore/GP1838/2011	CY124281	2011-12-08	Singapore
A/Singapore/GP1846/2011	CY124283	2011-12-09	Singapore
A/Singapore/GP185/2011	CY124285	2011-01-18	Singapore
A/Singapore/GP1873/2011	CY124287	2011-12-14	Singapore
A/Singapore/GP1891/2009	CY100071	2009-07-24	Singapore
A/Singapore/GP1905/2011	CY124289	2011-12-21	Singapore
A/Singapore/GP1935/2011	CY124291	2011-12-30	Singapore
A/Singapore/GP2240/2009	CY100073	2009-07-28	Singapore
A/Singapore/GP3268/2010	CY100091	2010-06-24	Singapore
A/Singapore/GP3269/2010	CY100093	2010-06-24	Singapore
A/Singapore/GP3303/2009	CY100075	2009-08-25	Singapore
A/Singapore/GP3333/2010	CY100095	2010-07-01	Singapore
A/Singapore/GP3448/2009	CY100077	2009-08-28	Singapore
A/Singapore/GP3680/2010	CY100097	2010-07-28	Singapore
A/Singapore/GP3727/2010	CY100099	2010-08-03	Singapore
A/Singapore/GP380/2011	CY124293	2011-01-28	Singapore
A/Singapore/GP3861/2009	CY100079	2009-09-28	Singapore
A/Singapore/GP3866/2009	CY100081	2009-09-24	Singapore
A/Singapore/GP3872/2010	CY100101	2010-08-24	Singapore
A/Singapore/GP3961/2010	CY100103	2010-09-03	Singapore
A/Singapore/GP4111/2010	CY100105	2010-09-20	Singapore
A/Singapore/GP4180/2010	CY100107	2010-09-28	Singapore
A/Singapore/GP4278/2010	CY100109	2010-10-12	Singapore
A/Singapore/GP429/2011	CY124295	2011-02-02	Singapore
A/Singapore/GP4397/2010	CY100111	2010-10-29	Singapore
A/Singapore/GP4453/2010	CY100113	2010-11-12	Singapore
A/Singapore/GP4459/2010	CY100115	2010-11-12	Singapore
A/Singapore/GP4555/2010	CY100117	2010-12-08	Singapore
A/Singapore/GP4664/2010	CY100119	2010-12-29	Singapore
A/Singapore/GP5/2011	CY124297	2011-01-04	Singapore
A/Singapore/GP586/2009	CY100083	2009-06-10	Singapore
A/Singapore/GP638/2009	CY100085	2009-06-20	Singapore
A/Singapore/GP898/2011	CY124299	2011-03-31	Singapore
A/Singapore/GP995/2011	CY124301	2011-05-09	Singapore
A/Singapore/H2009_332C/2009	KF014155	2009-05-01	Singapore
A/Singapore/H2009_334C/2009	KF014154	2009-05-02	Singapore
A/Singapore/H2009_389b/2009	KF014229	2009-05-22	Singapore
A/Singapore/H2009_485/2009	KF014230	2009-06-26	Singapore
A/Singapore/H2009_510/2009	KF014231	2009-07-05	Singapore
A/Singapore/H2009_518/2009	KF014232	2009-07-08	Singapore
A/Singapore/H2009_679/2009	KF014160	2009-09-05	Singapore
A/Singapore/H2010_211/2010	KF014234	2010-03-18	Singapore
A/Singapore/H2010_301/2010	KF014235	2010-04-20	Singapore
A/Singapore/H2010_370C/2010	KF014164	2010-05-15	Singapore
A/Singapore/H2010_389/2010	KF014237	2010-05-22	Singapore
A/Singapore/H2010_471C/2010	KF014167	2010-06-21	Singapore
A/Singapore/H2010_559C/2010	KF014168	2010-07-23	Singapore
A/Singapore/H2010_564C/2010	KF014169	2010-07-25	Singapore
A/Singapore/H2010_619/2010	KF014238	2010-08-14	Singapore
A/Singapore/H2010_666C/2010	KF014171	2010-08-31	Singapore
A/Singapore/H2010_797/2010	KF014239	2010-10-18	Singapore
A/Singapore/H2010_822/2010	KF014240	2010-10-27	Singapore
A/Singapore/H2011_140C/2011	KF014174	2011-02-20	Singapore
A/Singapore/H2011_447/2011	KF014241	2011-06-12	Singapore
A/Singapore/H2011_474/2011	KF014247	2011-06-22	Singapore
A/Singapore/H2011_479/2011	KF014248	2011-06-24	Singapore
A/Singapore/H2011_482/2011	KF014249	2011-06-25	Singapore
A/Singapore/H2011_496/2011	KF014250	2011-06-30	Singapore
A/Singapore/H2011_499a/2011	KF014251	2011-07-01	Singapore
A/Singapore/H2011_507/2011	KF014252	2011-07-04	Singapore
A/Singapore/H2011_515/2011	KF014253	2011-07-07	Singapore
A/Singapore/H2011_570/2011	KF014255	2011-07-27	Singapore
A/Singapore/H2011_751/2011	KF014256	2011-10-01	Singapore
A/Singapore/H2011_797/2011	KF014194	2011-10-18	Singapore
A/Singapore/H2011_808a/2011	KF014258	2011-10-22	Singapore
A/Singapore/H2011_808bC/2011	KF014196	2011-10-22	Singapore
A/Singapore/KK114/2011	CY124303	2011-02-16	Singapore
A/Singapore/KK171/2011	CY124307	2011-04-29	Singapore
A/Singapore/KK179/2011	CY124309	2011-05-16	Singapore
A/Singapore/KK183/2011	CY124313	2011-05-19	Singapore
A/Singapore/KK200/2011	CY124315	2011-06-14	Singapore
A/Singapore/KK212/2011	CY124317	2011-06-21	Singapore
A/Singapore/KK219/2011	CY124319	2011-06-27	Singapore
A/Singapore/KK245/2011	CY124321	2011-07-06	Singapore
A/Singapore/KK264/2011	CY124323	2011-07-15	Singapore
A/Singapore/KK308/2011	CY124325	2011-08-02	Singapore
A/Singapore/KK316/2011	CY124327	2011-08-08	Singapore
A/Singapore/KK325/2011	CY124329	2011-08-10	Singapore
A/Singapore/KK337/2011	CY124331	2011-08-15	Singapore
A/Singapore/KK354/2011	CY124333	2011-08-23	Singapore
A/Singapore/KK366/2011	CY124335	2011-08-31	Singapore
A/Singapore/KK376/2011	CY124337	2011-09-06	Singapore
A/Singapore/KK380/2011	CY124339	2011-09-07	Singapore
A/Singapore/KK398/2011	CY124345	2011-09-19	Singapore
A/Singapore/KK404/2011	CY124347	2011-09-23	Singapore
A/Singapore/KK413/2011	CY124349	2011-10-03	Singapore
A/Singapore/KK427/2011	CY124351	2011-10-07	Singapore
A/Singapore/KK459/2011	CY124355	2011-10-24	Singapore
A/Singapore/KK475/2011	CY124357	2011-11-01	Singapore
A/Singapore/KK482/2011	CY124359	2011-11-08	Singapore
A/Singapore/KK505/2011	CY124363	2011-11-17	Singapore
A/Singapore/KK517/2011	CY124365	2011-11-23	Singapore
A/Singapore/KK535/2011	CY124367	2011-12-05	Singapore
A/Singapore/KK564/2011	CY124369	2011-12-22	Singapore
A/Singapore/KK566/2011	CY124371	2011-12-27	Singapore
A/Singapore/KK581/2011	CY124373	2011-12-30	Singapore
A/Singapore/KK7/2011	CY124375	2011-01-03	Singapore
A/Singapore/MOH12/2011	CY124379	2011-06-20	Singapore
A/Singapore/N1604/2009	CY100087	2009-11-30	Singapore
A/Singapore/N1607/2009	CY100089	2009-12-09	Singapore
A/Singapore/NHRC0001/2003	CY091149	2003-09-28	Singapore
A/Singapore/NHRC0002/2003	CY091493	2003-09-29	Singapore
A/Singapore/NHRC0003/2003	CY091485	2003-09-30	Singapore
A/Singapore/NHRC0004/2003	CY091477	2003-10-01	Singapore
A/Singapore/NHRC0005/2003	CY091157	2003-10-03	Singapore
A/Singapore/NHRC0006/2003	CY091469	2003-10-07	Singapore
A/Singapore/NHRC0007/2003	CY091261	2003-10-08	Singapore
A/Singapore/NHRC0008/2003	CY091253	2003-10-08	Singapore
A/Singapore/NHRC0009/2003	CY091245	2003-10-09	Singapore
A/Singapore/NHRC0010/2003	CY091237	2003-10-11	Singapore
A/Singapore/SGH04/2011	CY124387	2011-08-16	Singapore
A/Singapore/TT203/2011	CY124389	2011-05-23	Singapore
A/Singapore/TT210/2011	CY124391	2011-06-06	Singapore
A/Singapore/TT215/2011	CY124393	2011-06-07	Singapore
A/Singapore/TT216/2011	CY124395	2011-06-07	Singapore
A/Singapore/TT217/2011	CY124397	2011-06-07	Singapore
A/Singapore/TT230/2011	CY124399	2011-06-16	Singapore
A/Singapore/TT241/2011	CY124401	2011-06-27	Singapore
A/Singapore/TT305/2011	CY124403	2011-07-07	Singapore
A/Singapore/TT383/2010	CY100125	2010-06-22	Singapore
A/Singapore/TT384/2010	CY100127	2010-06-22	Singapore
A/Singapore/TT393/2011	CY124407	2011-07-22	Singapore
A/Singapore/TT413/2011	CY124409	2011-07-27	Singapore
A/Singapore/TT416/2011	CY124411	2011-07-27	Singapore
A/Singapore/TT430/2011	CY124413	2011-07-29	Singapore
A/Singapore/TT453/2011	CY124417	2011-08-02	Singapore
A/Singapore/TT481/2011	CY124419	2011-08-08	Singapore
A/Singapore/TT507/2011	CY124423	2011-08-16	Singapore
A/Singapore/TT536/2011	CY124429	2011-08-22	Singapore
A/Singapore/TT556/2011	CY124431	2011-09-02	Singapore
A/Singapore/TT558/2011	CY124433	2011-09-02	Singapore
A/Singapore/TT562/2011	CY124435	2011-09-02	Singapore
A/Singapore/TT576/2011	CY124439	2011-09-08	Singapore
A/Singapore/TT584/2011	CY124441	2011-09-08	Singapore
A/Singapore/TT594/2011	CY124443	2011-09-13	Singapore
A/Singapore/TT603/2011	CY124445	2011-09-16	Singapore
A/Singapore/TT608/2011	CY124447	2011-09-20	Singapore
A/Singapore/TT609/2011	CY124449	2011-09-22	Singapore
A/Singapore/TT633/2011	CY124453	2011-09-29	Singapore
A/Singapore/TT638/2011	CY124455	2011-09-29	Singapore
A/Singapore/TT657/2011	CY124459	2011-10-05	Singapore
A/Singapore/TT663/2011	CY124463	2011-10-11	Singapore
A/Singapore/TT673/2011	CY124465	2011-10-17	Singapore
A/Singapore/TT702/2011	CY124467	2011-10-28	Singapore
A/Singapore/TT713/2011	CY124469	2011-10-28	Singapore
A/Singapore/TT717/2011	CY124471	2011-11-01	Singapore
A/Singapore/TT728/2011	CY124473	2011-11-14	Singapore
A/Singapore/TT735/2011	CY124475	2011-11-17	Singapore
A/Singapore/TT740/2011	CY124477	2011-11-17	Singapore
A/Singapore/TT765/2011	CY124481	2011-11-30	Singapore
A/Singapore/TT766/2011	CY124483	2011-11-30	Singapore
A/Singapore/TT787/2011	CY124485	2011-12-05	Singapore
A/Singapore/TT802/2011	CY124487	2011-12-09	Singapore
A/Singapore/TT815/2011	CY124489	2011-12-13	Singapore
A/Singapore/TT816/2011	CY124491	2011-12-13	Singapore
A/Singapore/TT827/2011	CY124493	2011-12-13	Singapore
A/Singapore/TT849/2011	CY124497	2011-12-22	Singapore
A/Singapore/TT869/2011	CY124499	2011-12-28	Singapore
A/Singapore/TT879/2011	CY124501	2011-12-30	Singapore
A/South_Austalia/25/1994	CY112757	1994-06-09	Australia
A/South_Canterbury/37/2002	CY007907	2002-06-13	New Zealand
A/South_Canterbury/433/2003	CY007179	2003-08-22	New Zealand
A/South_Carolina/01/2007	EU199360	2007-02-28	USA
A/South_Carolina/01/2011	KC883311	2011-01-19	USA
A/South_Carolina/01/2012	KC892774	2012-01-04	USA
A/South_Carolina/03/2008	EU885530	2008-03-21	USA
A/South_Carolina/03/2010	KC883278	2010-10-03	USA
A/South_Carolina/03/2012	KC893081	2012-01-11	USA
A/South_Carolina/04/2010	KC882662	2010-11-12	USA
A/South_Carolina/06/2010	KC882665	2010-11-28	USA
A/South_Carolina/06/2011	KC883356	2011-02-14	USA
A/South_Carolina/07/2008	GQ385874	2008-12-31	USA
A/South_Carolina/07/2012	KC892567	2012-02-27	USA
A/South_Carolina/08/2011	KC893019	2011-12-19	USA
A/South_Carolina/09/2012	KC892168	2012-04-09	USA
A/South_Carolina/11/2010	KC882702	2010-12-02	USA
A/South_Carolina/14/2009	GQ895050	2009-03-09	USA
A/South_Carolina/NHRC0001/1999	CY090901	1999-11-29	USA
A/South_Carolina/NHRC0001/2003	CY090925	2003-10-21	USA
A/South_Carolina/NHRC0001/2005	CY090989	2005-02-11	USA
A/South_Carolina/NHRC0001/2006	CY091061	2006-03-28	USA
A/South_Carolina/NHRC0001/2011	CY091565	2011-01-28	USA
A/South_Carolina/NHRC0002/2003	CY090949	2003-11-13	USA
A/South_Carolina/NHRC0002/2005	CY090997	2005-03-10	USA
A/South_Dakota/01/2007	EU199377	2007-01-23	USA
A/South_Dakota/01/2008	EU716482	2008-01-18	USA
A/South_Dakota/01/2010	KC882796	2010-08-13	USA
A/South_Dakota/02/2007	EU199364	2007-01-21	USA
A/South_Dakota/02/2010	KC883285	2010-12-15	USA
A/South_Dakota/02/2011	KC882822	2011-01-06	USA
A/South_Dakota/02/2012	KC893093	2012-01-03	USA
A/South_Dakota/03/2011	KC893051	2011-09-23	USA
A/South_Dakota/WRAIR1177P/2009	CY069501	2009-01-01	USA
A/South_Korea/WRAIR1171P/2009	CY093240	2009-01-01	South Korea
